Hole,Par,Tee Box,Index,Distance,Tee Center Lat,Tee Center Long,Green Center Lat,Green Center Long
1,4,White,2,378,-33.98487831,151.2452043,-33.98786758,151.2434068
1,4,Black,1,399,-33.98458084,151.2451351,-33.98786758,151.2434068
2,4,White,4,303,-33.98821152,151.2420351,-33.99063532,151.2435173
2,4,Black,4,317,-33.98815815,151.2419869,-33.99063532,151.2435173
3,3,White,12,166,-33.99090978,151.2435391,-33.99050281,151.2448426
3,3,Black,10,170,-33.99105211,151.2431904,-33.99050281,151.2448426
4,4,White,16,291,-33.99009668,151.2447786,-33.98823302,151.2426275
4,4,Black,8,346,-33.99029016,151.245468,-33.98823302,151.2426275
5,3,White,10,170,-33.9878884,151.2451818,-33.98697879,151.2464049
5,3,Black,6,203,-33.98816862,151.2447983,-33.98697879,151.2464049
6,5,White,18,433,-33.98684377,151.2469347,-33.98590665,151.251454
6,5,Black,16,501,-33.98737911,151.2464746,-33.98590665,151.251454
7,5,White,8,472,-33.98535534,151.2512957,-33.98644462,151.246324
7,5,Black,14,492,-33.98530587,151.251685,-33.98644462,151.246324
8,4,White,6,390,-33.98613131,151.2463419,-33.98516828,151.2503391
8,4,Black,12,398,-33.9861937,151.2461965,-33.98516828,151.2503391
9,4,White,14,287,-33.98493167,151.249598,-33.98540139,151.2465457
9,4,Black,18,298,-33.98491996,151.2497401,-33.98540139,151.2465457